author-name,rev-str,file,added-atoms,added-non-atoms
jason,15,26,113,3427
law,8,15,42,1722
pthaugen,1,4,0,16
renlin,1,2,0,34
amker,1,3,1,12
redi,3,7,0,0
gjl,2,2,0,0
tnfchris,3,6,4,14
jamborm,1,3,1,18
marxin,8,31,93,5849
uros,15,136,12,622
rguenth,32,79,266,8073
krebbel,1,3,0,0
tkoenig,1,3,0,0
thopre01,1,2,0,0
gerald,1,3,0,0
wilco,4,4,4,34
edlinger,2,4,0,6
hainque,2,4,0,0
jgreenhalgh,1,2,0,0
amonakov,4,7,5,98
danglin,3,4,0,0
meissner,6,24,1,81
mpolacek,4,8,20,318
claziss,7,15,59,1922
ian,9,15,6,242
yroux,1,1,0,0
aldyh,3,4,1,29
hjl,1,4,1,107
munroesj,3,5,0,0
dansan,5,11,6,311
gccadmin,18,1,0,0
fdumont,1,2,0,0
segher,1,2,1,41
jvdelisle,2,9,3,43
dmalcolm,4,16,1,307
jakub,11,22,27,541
amodra,1,2,0,10
ebotcazou,11,12,23,537
jsm28,2,5,8,232
sje,1,4,0,0
msebor,2,5,4,141
vries,1,2,0,10
sh,1,3,0,0
wschmidt,5,5,19,895
willschm,2,1,0,0
nickc,2,3,0,0
dje,1,2,0,102
nathan,26,19,143,3560
rsandifo,110,348,967,22305
paolo,1,5,0,36
ville,1,2,0,1
janus,1,4,1,13
jbeniston,1,3,0,1
charlet,33,109,4,3532
