project,all-nodes,non-atoms,omitted-curly-braces,operator-precedence,implicit-predicate,conditional,post-increment,repurposed-variable,assignment-as-value,comma-operator,pre-increment,type-conversion,preprocessor-in-statement,logic-as-control-flow,literal-encoding,macro-operator-precedence,reversed-subscript
linux,74724127,73494691,559994,519120,138393,42953,22078,21381,17009,7928,5391,2510,2241,1786,1539,523,0
freebsd,71538604,70644071,509391,227089,71917,41507,22665,24271,42141,17937,7954,1973,4622,4183,568,1408,2
gecko-dev,40876787,40603325,115440,98886,13224,23154,10110,10956,11033,5766,2789,2003,1297,905,383,1161,0
gcc,19219125,18932020,177807,59721,23824,15353,8794,14245,5713,4668,1829,4354,1882,970,1043,21,32
webkit,14605176,14483555,69745,34242,3770,9585,2487,2877,1818,2346,1200,629,239,134,98,369,0
mongo,12273209,12190929,46760,19340,2283,5913,3136,2797,4153,1451,2409,282,186,482,192,97,0
mysql-server,9133390,9047757,38881,22727,6138,6395,3988,1961,7927,4291,846,472,230,723,16,397,0
clang,7536502,7453609,59556,12405,2014,5671,736,2198,1387,1247,412,1214,665,93,18,70,15
subversion,2658095,2636700,14308,4373,461,1762,316,287,465,109,87,7,68,24,0,19,0
emacs,1176960,1154757,12655,4438,1694,1505,788,984,966,585,205,374,131,297,3,1,0
git,1140019,1114086,15538,6486,2823,1211,752,612,713,190,215,8,13,104,0,28,0
httpd,1001537,992609,2211,2783,1340,1116,582,120,1455,148,128,33,30,174,0,51,0
nginx,702448,698349,1,3419,50,305,641,150,12,65,81,0,0,7,0,0,0
vim,614848,602932,7492,2289,1088,605,599,342,467,44,167,8,141,85,0,2,2
