project,all-nodes,non-atoms,omitted-curly-braces,operator-precedence,conditional,repurposed-variable,implicit-predicate,assignment-as-value,comma-operator,type-conversion,post-increment,preprocessor-in-statement,pre-increment,logic-as-control-flow,macro-operator-precedence,literal-encoding,reversed-subscript
clang,308996582,305597969,2441796,508605,232511,90118,82574,56867,51127,49774,30176,27265,16892,3813,2870,738,615
linux,74858281,73628845,559994,519120,42953,21381,138393,17009,7928,2510,22078,2241,5391,1786,523,1539,0
freebsd,71698428,70803870,509410,227090,41507,24271,71918,42142,17937,1973,22666,4623,7955,4183,1408,568,2
gecko-dev,40971014,40696462,116018,99163,23226,10996,13316,11076,5773,2011,10123,1297,2798,922,1161,383,0
gcc,19239151,18932044,177807,59721,15353,14245,43826,5713,4668,4354,8794,1882,1829,970,21,1043,32
webkit,14605177,14483556,69745,34242,9585,2877,3770,1818,2346,629,2487,239,1200,134,369,98,0
mongo,12404386,12320696,47577,19685,6078,2817,2321,4213,1476,286,3152,190,2413,483,102,192,0
mysql-server,9133390,9047757,38881,22727,6395,1961,6138,7927,4291,472,3988,230,846,723,397,16,0
subversion,2658095,2636700,14308,4373,1762,287,461,465,109,7,316,68,87,24,19,0,0
emacs,1176960,1154757,12655,4438,1505,984,1694,966,585,374,788,131,205,297,1,3,0
git,1140019,1114086,15538,6486,1211,612,2823,713,190,8,752,13,215,104,28,0,0
httpd,1001537,992609,2211,2783,1116,120,1340,1455,148,33,582,30,128,174,51,0,0
nginx,702448,698349,1,3419,305,150,50,12,65,0,641,0,81,7,0,0,0
vim,614848,602932,7492,2289,605,342,1088,467,44,8,599,141,167,85,2,0,2
